sigla progetto,nome del' attore,tipo di relazione
"Tomba Suore (in ricordo della missionaria Suor Leopolda Baldessari, sorella di L.B.)",Istituto Beata Vergine Maria di Santa Croce Madre Superiora Suor Chiara Rossaro,COM
"Tomba Suore (in ricordo della missionaria Suor Leopolda Baldessari, sorella di L.B.)",Invita lo scultore Antonio Voltan: scultura in rame,COL
Tomba Rasini,Dott. Giovanni Rasini,COM
Tomba Dina Baldessari,Arch. Luciano Baldessari,COM
Tomba Mariani-Clary,Dott. Edoardo Mariani,COM
Tomba Mariani-Clary,Invita lo scultore Umberto Milani: scultura in pietra,COL
Progetto Tomba de Hosszufalussy,Peter de Hosszufalussy,COM
Tomba Segale,Luciana e Arturo Segale,COM
Tomba Bonfanti,E. Bonfanti,COM
Tomba Cairoli,G. Cairoli,COM
Tomba Cairoli,Arch. Zita Mosca (fonte Z.M.B.),COL
"Progetto Monumento ""Generale Roca"" (Concorso Internazionale - motto ""Pampas"")",Comision Nacional Monumento General Julio A. Roca,COM
"Progetto Monumento ""Generale Roca"" (Concorso Internazionale - motto ""Pampas"")",Lucio Fontana,COP
Progetto Monumenti Allegorici (concorso),Governatorato Civile Distretto Santo Domingo,COM
Progetto Fontana Triennale e organizzazione della mostra di fontane all'aperto,Giunta della XI Triennale - Segretario della Triennale Comm. Tommaso Ferraris,COM
"Progetto Fontana del Risparmio (Concorso, annulato)",Cassa di Risparmio delle Provincie Lombarde Presidente Prof. Giordano Dell'Amore,COM
"Progetto Campana dei Caduti (Concorso, vinto - motto ""Per tutte le genti)",Opera Internazionale della Campana dei Caduti - Il Reggente Padre Eusebio Jori,COM
"Progetto Campana dei Caduti (Concorso, vinto - motto ""Per tutte le genti)",Impresa Ing. A. Morganti: calcolo opere in c.a. (fonte Z.M.B.),COL
Calzaturificio di Varese (smantellato),Comm. Ermenegildo Trolli,COM
Calzaturificio di Varese (smantellato),Invita il pittore Enrico Ciuti: pannello polimaterico a parete,COL
Studio per Collezionista (smantellato),Carlo De Angeli Frua,COM
Studio per Collezionista (smantellato),1930 - Arch.tti Gino Pollini e Luigi Figini  (fonte Bibliografia),COL
Bar Rossi (smantellato),Rossi,COM
Appartamento Spadacini (1),Dott. Mino Spadacini,COM
Appartamento Spadacini (1),Invita il pittore Adriano di Spilimbergo: pannello a parete (fonte Bibliografia),COL
Appartamento Perin,Maestro Tullio Perin,COM
Progetto negozio Sartotecnica - vetrine (smantellato),"Società Anonima ""La Sartotecnica""",COM
Appartamento Bolchini  (appartamento per scapolo),G. Bolchini,COM
Appartamento Sigurtà,Dott. Giuseppe Carlo Sigurtà,COM
Appartamento De Angeli Frua,Carlo De Angeli Frua,COM
Progetto Pinacoteca Castello Sforzesco  Sala della Cancelleria,Prof. Giorgio Nicodemi  (Soprintendente Capo Civici Musei di Milano),COM
Progetto Bar Canova,Angelo Ostuni,COM
Negozio Ultimoda D.A.F. Tessuti per l'arredamento (smantellato),"Società Anonima ""Ultimoda""",COM
Progetto Salone d'Onore (concorso),"VI Triennale di Milano - Presidente Giulio Barella - Il Direttorio: Dott. Carlo A. Felice, Arch. Giuseppe Pagano, Pittore Mario Sironi",COM
Appartamento Mariani,Dott. Giulio Mariani,COM
Appartamento/studio a Parigi,Carlo De Angeli Frua per la scultrice Mary Callery (fonte bibliografia),COM
Negozio Hass Tappeti per l'arredamento,Hass,COM
"Panfilo ""La Madonnina""",Dott. Giovanni Rasini,COM
Negozio Galtrucco Tessuti per l'arredamento,Galtrucco,COM
Negozio Galtrucco Tessuti per l'arredamento,Invita il pittore Enrico Ciuti (fonte Z.M.B.),COL
Appartamento in via San Pietro all'Orto,Alm Griffith-Grey (fonte Bibliografia),COM
Ristorante self-service Alma Products (smantellato),Alma Products Inc. Store - General Manager A. Fabbri,COM
Progetto Banca di Trento e Bolzano (progetto di ristrutturazione e ampliamento),Banca di Trento e Bolzano - Consigliere Delegato Dott. B. Andreatta,COM
"Istituto di Bellezza ""Dora Bruschi"" (smantellato)",Dora Bruschi,COM
Breda (grattacielo),Finanziaria Ernesto Breda S.p.A.,COM
Appartamento Masini Libreria da elementi con ribalta ad intarsio,Dott. Giuseppe Masini,COM
Parrucchiere Manfredini (smantellato),C. Manfredini,COM
Appartamento via Senato,Giulia Butti,COM
Appartamento Cagol Libreria ad elementi con ribalta ad intarsio,Giuseppe (detto Beppe) Cagol,COM
Padiglione 19 (ristrutturazione sotterraneo),Ente Fiera Milano - Segretario Generale Dott. Michele Guido Franci,COM
Appartamento Russoli,Russoli,COM
Camera di Commercio Sala Presidenziale (smantellata),Camera di Commercio Industria e Agricoltura  - Presidente Comm. Leo Detassis,COM
Credito Fondiario (smantellato),Istituto di Credito Fondiario - Direttore Generale Dott. Umberto Garbari,COM
Credito Fondiario (smantellato),Invita il pittore Adriano di Spilmbergo (quadro),COL
Appartamento Seppi (sopraelevazione),Cesarina Seppi (pittrice),COM
Appartamento Seppi (sopraelevazione),Ing. Renato Marchi,COL
Laboratorio Fontana Atelier di pellicceria (smantellato),Bruna Fontana,COM
Appartamento Panzeri,Dott. Eliano Panzeri,COM
Appartamento Panzeri,Arch. Zita Mosca  (fonte Z.M.B.),COP
Appartamento Avv. Dieci,Avv. Dieci,COM
Appartamento Avv. Dieci,Arch. Zita Mosca,COP
Villa Leonardi,Dott. Matteo Leonardi,COM
Villa Leonardi,Arch. Zita Mosca (fonte Z.M.B.),COP
Negozio per esposizioni Leoni (smantellato),Società Anonima Antonio Leoni - Amministratore Dott. Silvio Leoni,COM
